match,market,question,prob,pct,source,note,commence,match_id
Czech Republic vs Mexico,Moneyline,Will the match end in a draw?,0.2072,20.7,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T01:00:00Z,5993bd5196ca09f83990f0c3261e442e
Czech Republic vs Mexico,Total Goals,Will total goals be over 2.5?,0.4363,43.6,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T01:00:00Z,5993bd5196ca09f83990f0c3261e442e
Czech Republic vs Mexico,BTTS,Will both teams score?,0.36,36.0,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T01:00:00Z,5993bd5196ca09f83990f0c3261e442e
South Africa vs South Korea,Moneyline,Will South Africa win the match?,0.2055,20.5,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T01:00:00Z,c0355dfc6e26ec327e379b6ef5824a5f
South Africa vs South Korea,Moneyline,Will South Korea win the match?,0.5329,53.3,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T01:00:00Z,c0355dfc6e26ec327e379b6ef5824a5f
South Africa vs South Korea,Moneyline,Will the match end in a draw?,0.2617,26.2,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T01:00:00Z,c0355dfc6e26ec327e379b6ef5824a5f
South Africa vs South Korea,Total Goals,Will total goals be over 2.5?,0.41,41.0,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T01:00:00Z,c0355dfc6e26ec327e379b6ef5824a5f
South Africa vs South Korea,BTTS,Will both teams score?,0.4354,43.5,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T01:00:00Z,c0355dfc6e26ec327e379b6ef5824a5f
Curaçao vs Ivory Coast,Moneyline,Will Curaçao win the match?,0.105,10.5,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T20:00:00Z,a5a0b544a984ab16e564264f3e859b43
Curaçao vs Ivory Coast,Moneyline,Will Ivory Coast win the match?,0.6936,69.4,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T20:00:00Z,a5a0b544a984ab16e564264f3e859b43
Curaçao vs Ivory Coast,Moneyline,Will the match end in a draw?,0.2014,20.1,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T20:00:00Z,a5a0b544a984ab16e564264f3e859b43
Curaçao vs Ivory Coast,Total Goals,Will total goals be over 2.5?,0.4636,46.4,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T20:00:00Z,a5a0b544a984ab16e564264f3e859b43
Curaçao vs Ivory Coast,BTTS,Will both teams score?,0.3833,38.3,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T20:00:00Z,a5a0b544a984ab16e564264f3e859b43
Ecuador vs Germany,Moneyline,Will Ecuador win the match?,0.2317,23.2,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T20:00:00Z,0ec28b84ec399bd4dffbe8d1bc72b3c4
Ecuador vs Germany,Moneyline,Will Germany win the match?,0.5155,51.5,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T20:00:00Z,0ec28b84ec399bd4dffbe8d1bc72b3c4
Ecuador vs Germany,Moneyline,Will the match end in a draw?,0.2529,25.3,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T20:00:00Z,0ec28b84ec399bd4dffbe8d1bc72b3c4
Ecuador vs Germany,Total Goals,Will total goals be over 2.5?,0.466,46.6,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T20:00:00Z,0ec28b84ec399bd4dffbe8d1bc72b3c4
Ecuador vs Germany,BTTS,Will both teams score?,0.4906,49.1,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T20:00:00Z,0ec28b84ec399bd4dffbe8d1bc72b3c4
Japan vs Sweden,Moneyline,Will Japan win the match?,0.5166,51.7,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T23:00:00Z,0ed0233bddc4eafc8507f86a9c17b998
Japan vs Sweden,Moneyline,Will Sweden win the match?,0.2427,24.3,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T23:00:00Z,0ed0233bddc4eafc8507f86a9c17b998
Japan vs Sweden,Moneyline,Will the match end in a draw?,0.2407,24.1,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T23:00:00Z,0ed0233bddc4eafc8507f86a9c17b998
Japan vs Sweden,Total Goals,Will total goals be over 2.5?,0.5251,52.5,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T23:00:00Z,0ed0233bddc4eafc8507f86a9c17b998
Japan vs Sweden,BTTS,Will both teams score?,0.5399,54.0,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T23:00:00Z,0ed0233bddc4eafc8507f86a9c17b998
Tunisia vs Netherlands,Moneyline,Will Tunisia win the match?,0.1015,10.2,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T23:00:00Z,f3c4657daa143a0c5bd62cb370d01ce4
Tunisia vs Netherlands,Moneyline,Will Netherlands win the match?,0.705,70.5,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T23:00:00Z,f3c4657daa143a0c5bd62cb370d01ce4
Tunisia vs Netherlands,Moneyline,Will the match end in a draw?,0.1935,19.3,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T23:00:00Z,f3c4657daa143a0c5bd62cb370d01ce4
Tunisia vs Netherlands,Total Goals,Will total goals be over 2.5?,0.4849,48.5,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T23:00:00Z,f3c4657daa143a0c5bd62cb370d01ce4
Tunisia vs Netherlands,BTTS,Will both teams score?,0.3934,39.3,fundamentals,lbenz bvp + crowd + momentum,2026-06-25T23:00:00Z,f3c4657daa143a0c5bd62cb370d01ce4
Paraguay vs Australia,Moneyline,Will Paraguay win the match?,0.2505,25.1,fundamentals,lbenz bvp + crowd + momentum,2026-06-26T02:00:00Z,22f6ac06dfcc88a847920f62633e6459
Paraguay vs Australia,Moneyline,Will Australia win the match?,0.4502,45.0,fundamentals,lbenz bvp + crowd + momentum,2026-06-26T02:00:00Z,22f6ac06dfcc88a847920f62633e6459
Paraguay vs Australia,Moneyline,Will the match end in a draw?,0.2993,29.9,fundamentals,lbenz bvp + crowd + momentum,2026-06-26T02:00:00Z,22f6ac06dfcc88a847920f62633e6459
Paraguay vs Australia,Total Goals,Will total goals be over 2.5?,0.3274,32.7,fundamentals,lbenz bvp + crowd + momentum,2026-06-26T02:00:00Z,22f6ac06dfcc88a847920f62633e6459
Paraguay vs Australia,BTTS,Will both teams score?,0.3894,38.9,fundamentals,lbenz bvp + crowd + momentum,2026-06-26T02:00:00Z,22f6ac06dfcc88a847920f62633e6459
Turkey vs USA,Moneyline,Will Turkey win the match?,0.1636,16.4,fundamentals,lbenz bvp + crowd + momentum,2026-06-26T02:00:00Z,f41aeac9a8343a84b4950f15ea25fba2
Turkey vs USA,Moneyline,Will USA win the match?,0.6377,63.8,fundamentals,lbenz bvp + crowd + momentum,2026-06-26T02:00:00Z,f41aeac9a8343a84b4950f15ea25fba2
Turkey vs USA,Moneyline,Will the match end in a draw?,0.1987,19.9,fundamentals,lbenz bvp + crowd + momentum,2026-06-26T02:00:00Z,f41aeac9a8343a84b4950f15ea25fba2
Turkey vs USA,Total Goals,Will total goals be over 2.5?,0.6029,60.3,fundamentals,lbenz bvp + crowd + momentum,2026-06-26T02:00:00Z,f41aeac9a8343a84b4950f15ea25fba2
Turkey vs USA,BTTS,Will both teams score?,0.5518,55.2,fundamentals,lbenz bvp + crowd + momentum,2026-06-26T02:00:00Z,f41aeac9a8343a84b4950f15ea25fba2
Norway vs France,Moneyline,Will Norway win the match?,0.2149,21.5,fundamentals,lbenz bvp + crowd + momentum,2026-06-26T19:00:00Z,b86b4d60f773e9e3c46c00e9a6496e79
Norway vs France,Moneyline,Will France win the match?,0.5645,56.5,fundamentals,lbenz bvp + crowd + momentum,2026-06-26T19:00:00Z,b86b4d60f773e9e3c46c00e9a6496e79
Norway vs France,Moneyline,Will the match end in a draw?,0.2206,22.1,fundamentals,lbenz bvp + crowd + momentum,2026-06-26T19:00:00Z,b86b4d60f773e9e3c46c00e9a6496e79
Norway vs France,Total Goals,Will total goals be over 2.5?,0.583,58.3,fundamentals,lbenz bvp + crowd + momentum,2026-06-26T19:00:00Z,b86b4d60f773e9e3c46c00e9a6496e79
Norway vs France,BTTS,Will both teams score?,0.5709,57.1,fundamentals,lbenz bvp + crowd + momentum,2026-06-26T19:00:00Z,b86b4d60f773e9e3c46c00e9a6496e79
Senegal vs Iraq,Moneyline,Will Senegal win the match?,0.5718,57.2,fundamentals,lbenz bvp + crowd + momentum,2026-06-26T19:00:00Z,7e6aee294ea1a4792c59558791084528
Senegal vs Iraq,Moneyline,Will Iraq win the match?,0.1553,15.5,fundamentals,lbenz bvp + crowd + momentum,2026-06-26T19:00:00Z,7e6aee294ea1a4792c59558791084528
Senegal vs Iraq,Moneyline,Will the match end in a draw?,0.2729,27.3,fundamentals,lbenz bvp + crowd + momentum,2026-06-26T19:00:00Z,7e6aee294ea1a4792c59558791084528
Senegal vs Iraq,Total Goals,Will total goals be over 2.5?,0.3252,32.5,fundamentals,lbenz bvp + crowd + momentum,2026-06-26T19:00:00Z,7e6aee294ea1a4792c59558791084528
Senegal vs Iraq,BTTS,Will both teams score?,0.3382,33.8,fundamentals,lbenz bvp + crowd + momentum,2026-06-26T19:00:00Z,7e6aee294ea1a4792c59558791084528
Cape Verde vs Saudi Arabia,Moneyline,Will Cape Verde win the match?,0.3313,33.1,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T00:00:00Z,e07b1926be5a4d515c7eb108dbcee9c5
Cape Verde vs Saudi Arabia,Moneyline,Will Saudi Arabia win the match?,0.3456,34.6,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T00:00:00Z,e07b1926be5a4d515c7eb108dbcee9c5
Cape Verde vs Saudi Arabia,Moneyline,Will the match end in a draw?,0.3231,32.3,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T00:00:00Z,e07b1926be5a4d515c7eb108dbcee9c5
Cape Verde vs Saudi Arabia,Total Goals,Will total goals be over 2.5?,0.2835,28.4,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T00:00:00Z,e07b1926be5a4d515c7eb108dbcee9c5
Cape Verde vs Saudi Arabia,BTTS,Will both teams score?,0.3647,36.5,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T00:00:00Z,e07b1926be5a4d515c7eb108dbcee9c5
Uruguay vs Spain,Moneyline,Will Uruguay win the match?,0.1849,18.5,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T00:00:00Z,dcff2e31c0bce001a4db5caaf4fa8822
Uruguay vs Spain,Moneyline,Will Spain win the match?,0.5654,56.5,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T00:00:00Z,dcff2e31c0bce001a4db5caaf4fa8822
Uruguay vs Spain,Moneyline,Will the match end in a draw?,0.2497,25.0,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T00:00:00Z,dcff2e31c0bce001a4db5caaf4fa8822
Uruguay vs Spain,Total Goals,Will total goals be over 2.5?,0.4285,42.8,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T00:00:00Z,dcff2e31c0bce001a4db5caaf4fa8822
Uruguay vs Spain,BTTS,Will both teams score?,0.4371,43.7,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T00:00:00Z,dcff2e31c0bce001a4db5caaf4fa8822
New Zealand vs Belgium,Moneyline,Will New Zealand win the match?,0.0859,8.6,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T03:00:00Z,581691da05dcd75b5c6d3be91ee9d2ab
New Zealand vs Belgium,Moneyline,Will Belgium win the match?,0.7561,75.6,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T03:00:00Z,581691da05dcd75b5c6d3be91ee9d2ab
New Zealand vs Belgium,Moneyline,Will the match end in a draw?,0.158,15.8,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T03:00:00Z,581691da05dcd75b5c6d3be91ee9d2ab
New Zealand vs Belgium,Total Goals,Will total goals be over 2.5?,0.5904,59.0,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T03:00:00Z,581691da05dcd75b5c6d3be91ee9d2ab
New Zealand vs Belgium,BTTS,Will both teams score?,0.4441,44.4,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T03:00:00Z,581691da05dcd75b5c6d3be91ee9d2ab
Egypt vs Iran,Moneyline,Will Egypt win the match?,0.3254,32.5,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T03:00:00Z,3e3b5fa2b3c963e74cf044c60db0b573
Egypt vs Iran,Moneyline,Will Iran win the match?,0.3575,35.8,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T03:00:00Z,3e3b5fa2b3c963e74cf044c60db0b573
Egypt vs Iran,Moneyline,Will the match end in a draw?,0.3171,31.7,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T03:00:00Z,3e3b5fa2b3c963e74cf044c60db0b573
Egypt vs Iran,Total Goals,Will total goals be over 2.5?,0.2988,29.9,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T03:00:00Z,3e3b5fa2b3c963e74cf044c60db0b573
Egypt vs Iran,BTTS,Will both teams score?,0.3779,37.8,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T03:00:00Z,3e3b5fa2b3c963e74cf044c60db0b573
Croatia vs Ghana,Moneyline,Will Croatia win the match?,0.5641,56.4,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T21:00:00Z,537c0997cd899394f47f16545b7068b2
Croatia vs Ghana,Moneyline,Will Ghana win the match?,0.1937,19.4,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T21:00:00Z,537c0997cd899394f47f16545b7068b2
Croatia vs Ghana,Moneyline,Will the match end in a draw?,0.2422,24.2,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T21:00:00Z,537c0997cd899394f47f16545b7068b2
Croatia vs Ghana,Total Goals,Will total goals be over 2.5?,0.4661,46.6,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T21:00:00Z,537c0997cd899394f47f16545b7068b2
Croatia vs Ghana,BTTS,Will both teams score?,0.4709,47.1,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T21:00:00Z,537c0997cd899394f47f16545b7068b2
Panama vs England,Moneyline,Will Panama win the match?,0.0543,5.4,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T21:00:00Z,4be17c8e1ccfecb0f2a5ef79e045c415
Panama vs England,Moneyline,Will England win the match?,0.8138,81.4,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T21:00:00Z,4be17c8e1ccfecb0f2a5ef79e045c415
Panama vs England,Moneyline,Will the match end in a draw?,0.1319,13.2,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T21:00:00Z,4be17c8e1ccfecb0f2a5ef79e045c415
Panama vs England,Total Goals,Will total goals be over 2.5?,0.5859,58.6,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T21:00:00Z,4be17c8e1ccfecb0f2a5ef79e045c415
Panama vs England,BTTS,Will both teams score?,0.3659,36.6,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T21:00:00Z,4be17c8e1ccfecb0f2a5ef79e045c415
Colombia vs Portugal,Moneyline,Will Colombia win the match?,0.3943,39.4,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T23:30:00Z,67ae5751c401a98409b8566ae4897069
Colombia vs Portugal,Moneyline,Will Portugal win the match?,0.3442,34.4,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T23:30:00Z,67ae5751c401a98409b8566ae4897069
Colombia vs Portugal,Moneyline,Will the match end in a draw?,0.2615,26.2,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T23:30:00Z,67ae5751c401a98409b8566ae4897069
Colombia vs Portugal,Total Goals,Will total goals be over 2.5?,0.4897,49.0,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T23:30:00Z,67ae5751c401a98409b8566ae4897069
Colombia vs Portugal,BTTS,Will both teams score?,0.5349,53.5,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T23:30:00Z,67ae5751c401a98409b8566ae4897069
DR Congo vs Uzbekistan,Moneyline,Will DR Congo win the match?,0.4053,40.5,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T23:30:00Z,13eab94a136b9c264ba974cf437a5f71
DR Congo vs Uzbekistan,Moneyline,Will Uzbekistan win the match?,0.2688,26.9,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T23:30:00Z,13eab94a136b9c264ba974cf437a5f71
DR Congo vs Uzbekistan,Moneyline,Will the match end in a draw?,0.3259,32.6,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T23:30:00Z,13eab94a136b9c264ba974cf437a5f71
DR Congo vs Uzbekistan,Total Goals,Will total goals be over 2.5?,0.2673,26.7,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T23:30:00Z,13eab94a136b9c264ba974cf437a5f71
DR Congo vs Uzbekistan,BTTS,Will both teams score?,0.3439,34.4,fundamentals,lbenz bvp + crowd + momentum,2026-06-27T23:30:00Z,13eab94a136b9c264ba974cf437a5f71
Algeria vs Austria,Moneyline,Will Algeria win the match?,0.3447,34.5,fundamentals,lbenz bvp + crowd + momentum,2026-06-28T02:00:00Z,8756200e539155e571557c4f2e0d7f05
Algeria vs Austria,Moneyline,Will Austria win the match?,0.4059,40.6,fundamentals,lbenz bvp + crowd + momentum,2026-06-28T02:00:00Z,8756200e539155e571557c4f2e0d7f05
Algeria vs Austria,Moneyline,Will the match end in a draw?,0.2494,24.9,fundamentals,lbenz bvp + crowd + momentum,2026-06-28T02:00:00Z,8756200e539155e571557c4f2e0d7f05
Algeria vs Austria,Total Goals,Will total goals be over 2.5?,0.5431,54.3,fundamentals,lbenz bvp + crowd + momentum,2026-06-28T02:00:00Z,8756200e539155e571557c4f2e0d7f05
Algeria vs Austria,BTTS,Will both teams score?,0.5763,57.6,fundamentals,lbenz bvp + crowd + momentum,2026-06-28T02:00:00Z,8756200e539155e571557c4f2e0d7f05
Jordan vs Argentina,Moneyline,Will Jordan win the match?,0.0367,3.7,fundamentals,lbenz bvp + crowd + momentum,2026-06-28T02:00:00Z,54697f453437ab26276d773be1d72e9b
Jordan vs Argentina,Moneyline,Will Argentina win the match?,0.8511,85.1,fundamentals,lbenz bvp + crowd + momentum,2026-06-28T02:00:00Z,54697f453437ab26276d773be1d72e9b
Jordan vs Argentina,Moneyline,Will the match end in a draw?,0.1122,11.2,fundamentals,lbenz bvp + crowd + momentum,2026-06-28T02:00:00Z,54697f453437ab26276d773be1d72e9b
Jordan vs Argentina,Total Goals,Will total goals be over 2.5?,0.5878,58.8,fundamentals,lbenz bvp + crowd + momentum,2026-06-28T02:00:00Z,54697f453437ab26276d773be1d72e9b
Jordan vs Argentina,BTTS,Will both teams score?,0.3051,30.5,fundamentals,lbenz bvp + crowd + momentum,2026-06-28T02:00:00Z,54697f453437ab26276d773be1d72e9b
