date,tournament,neutral,oc,total,btts,pH,pD,pA,p_o25,p_btts,rps,fav,comp,fav_oc,fb
2018-01-02,Gulf Cup,True,1,0,0,0.3935699710399616,0.25681160671575576,0.3496184222442825,0.5109306623728905,0.551705798160273,0.13856518163848885,0.3935699710399616,Other,0,3
2018-01-02,Gulf Cup,True,0,1,0,0.4434452375500939,0.25359162766464477,0.3029631347852612,0.5112497855258903,0.5464842585534423,0.2007699323222919,0.4434452375500939,Other,1,4
2018-01-05,Gulf Cup,True,1,0,0,0.32327633203371864,0.2554528556441542,0.42127081232212715,0.5109492987243665,0.5493741500563429,0.14098834208386,0.42127081232212715,Other,0,4
2018-01-07,Friendly,True,1,2,1,0.13135859343226342,0.2045944810561607,0.6640469255115758,0.5108156746102017,0.45126433758095996,0.22910669967493952,0.6640469255115758,Friendly,0,6
2018-01-11,Friendly,True,2,1,0,0.40660338845255806,0.25630001540964614,0.33709659613779586,0.5109306457804574,0.550821056090725,0.30238361917659917,0.40660338845255806,Friendly,0,4
2018-01-11,Friendly,False,2,6,0,0.0716654030176895,0.16456669699442497,0.7637678999878854,0.5110646369170846,0.357269322649136,0.03047076753291076,0.7637678999878854,Friendly,1,7
2018-01-11,Friendly,True,2,3,1,0.3957261486960107,0.25669109182889,0.34758275947509953,0.5111640836960113,0.5517710273300329,0.29112372024795163,0.3957261486960107,Friendly,0,3
2018-01-14,Friendly,False,2,5,1,0.06495486114549717,0.15876419234259076,0.776280946511912,0.5107909565528028,0.34158590575062564,0.027134674440018384,0.776280946511912,Friendly,1,7
2018-01-27,Friendly,True,2,1,0,0.006508321568628158,0.08155504514036274,0.9119366332910092,0.510883453699665,0.07549426840924608,0.0038987574028814384,0.9119366332910092,Friendly,1,9
2018-01-28,Friendly,False,1,0,0,0.5743699455219837,0.23110093871482326,0.1945291157631931,0.5109294642577425,0.504998822624109,0.18387120559926812,0.5743699455219837,Friendly,0,5
