match_date,team,opponent,days_rest,is_back_to_back,prev_city,city,travel_km
2026-06-25,Germany,Ecuador,5.0,False,Toronto,New York/New Jersey,540.1
2026-06-17,Ghana,Panama,,False,,Toronto,
2026-06-23,Ghana,England,6.0,False,Toronto,Boston (Foxborough),686.1
2026-06-27,Ghana,Croatia,4.0,True,Boston (Foxborough),Philadelphia,408.1
2026-06-13,Haiti,Scotland,,False,,Boston (Foxborough),
2026-06-19,Haiti,Brazil,6.0,False,Boston (Foxborough),Philadelphia,408.1
2026-06-24,Haiti,Morocco,5.0,False,Philadelphia,Atlanta,1067.7
2026-06-15,Iran,New Zealand,,False,,Los Angeles (Inglewood),
2026-06-21,Iran,Belgium,6.0,False,Los Angeles (Inglewood),Los Angeles (Inglewood),0.0
2026-06-26,Iran,Egypt,5.0,False,Los Angeles (Inglewood),Seattle,1553.1
2026-06-16,Iraq,Norway,,False,,Boston (Foxborough),
2026-06-22,Iraq,France,6.0,False,Boston (Foxborough),Philadelphia,408.1
2026-06-26,Iraq,Senegal,4.0,True,Philadelphia,Toronto,544.4
2026-06-14,Ivory Coast,Ecuador,,False,,Philadelphia,
2026-06-20,Ivory Coast,Germany,6.0,False,Philadelphia,Toronto,544.4
2026-06-25,Ivory Coast,Curaçao,5.0,False,Toronto,Philadelphia,544.4
2026-06-14,Japan,Netherlands,,False,,Dallas (Arlington),
2026-06-20,Japan,Tunisia,6.0,False,Dallas (Arlington),Monterrey,844.2
2026-06-25,Japan,Sweden,5.0,False,Monterrey,Dallas (Arlington),844.2
2026-06-16,Jordan,Austria,,False,,San Francisco Bay Area,
2026-06-22,Jordan,Algeria,6.0,False,San Francisco Bay Area,San Francisco Bay Area,0.0
2026-06-27,Jordan,Argentina,5.0,False,San Francisco Bay Area,Dallas (Arlington),2314.9
2026-07-18,L101,L102,,False,,Miami (Miami Gardens),
2026-07-18,L102,L101,,False,,Miami (Miami Gardens),
2026-06-11,Mexico,South Africa,,False,,Mexico City,
2026-06-18,Mexico,South Korea,7.0,False,Mexico City,Guadalajara,475.9
2026-06-24,Mexico,Czech Republic,6.0,False,Guadalajara,Mexico City,475.9
2026-06-13,Morocco,Brazil,,False,,New York/New Jersey,
2026-06-19,Morocco,Scotland,6.0,False,New York/New Jersey,Boston (Foxborough),273.9
2026-06-24,Morocco,Haiti,5.0,False,Boston (Foxborough),Atlanta,1475.8
2026-06-14,Netherlands,Japan,,False,,Dallas (Arlington),
2026-06-20,Netherlands,Sweden,6.0,False,Dallas (Arlington),Houston,376.3
2026-06-25,Netherlands,Tunisia,5.0,False,Houston,Kansas City,1044.7
2026-06-15,New Zealand,Iran,,False,,Los Angeles (Inglewood),
2026-06-21,New Zealand,Egypt,6.0,False,Los Angeles (Inglewood),Vancouver,1748.5
2026-06-26,New Zealand,Belgium,5.0,False,Vancouver,Vancouver,0.0
2026-06-16,Norway,Iraq,,False,,Boston (Foxborough),
2026-06-22,Norway,Senegal,6.0,False,Boston (Foxborough),New York/New Jersey,273.9
2026-06-26,Norway,France,4.0,True,New York/New Jersey,Boston (Foxborough),273.9
2026-06-17,Panama,Ghana,,False,,Toronto,
2026-06-23,Panama,Croatia,6.0,False,Toronto,Toronto,0.0
2026-06-27,Panama,England,4.0,True,Toronto,New York/New Jersey,540.1
2026-06-12,Paraguay,USA,,False,,Los Angeles (Inglewood),
2026-06-19,Paraguay,Turkey,7.0,False,Los Angeles (Inglewood),San Francisco Bay Area,504.6
2026-06-25,Paraguay,Australia,6.0,False,San Francisco Bay Area,San Francisco Bay Area,0.0
2026-06-17,Portugal,DR Congo,,False,,Houston,
2026-06-23,Portugal,Uzbekistan,6.0,False,Houston,Houston,0.0
2026-06-27,Portugal,Colombia,4.0,True,Houston,Miami (Miami Gardens),1547.1
2026-06-13,Qatar,Switzerland,,False,,San Francisco Bay Area,
2026-06-18,Qatar,Canada,5.0,False,San Francisco Bay Area,Vancouver,1323.5
2026-06-24,Qatar,Bosnia & Herzegovina,6.0,False,Vancouver,Seattle,195.6
2026-06-15,Saudi Arabia,Uruguay,,False,,Miami (Miami Gardens),
2026-06-21,Saudi Arabia,Spain,6.0,False,Miami (Miami Gardens),Atlanta,955.2
2026-06-26,Saudi Arabia,Cape Verde,5.0,False,Atlanta,Houston,1134.7
2026-06-13,Scotland,Haiti,,False,,Boston (Foxborough),
2026-06-19,Scotland,Morocco,6.0,False,Boston (Foxborough),Boston (Foxborough),0.0
2026-06-24,Scotland,Brazil,5.0,False,Boston (Foxborough),Miami (Miami Gardens),1972.5
2026-06-16,Senegal,France,,False,,New York/New Jersey,
2026-06-22,Senegal,Norway,6.0,False,New York/New Jersey,New York/New Jersey,0.0
2026-06-26,Senegal,Iraq,4.0,True,New York/New Jersey,Toronto,540.1
2026-06-11,South Africa,Mexico,,False,,Mexico City,
