key,HomeTeam,date_str,lat,lon,precipitation,wind_speed,temperature
Guingamp|2019-07-26,Guingamp,2019-07-26,48.5608,-3.15,1.5,17.7,18.6
Nancy|2019-07-26,Nancy,2019-07-26,48.6833,6.2,0.0,17.0,28.6
Niort|2019-07-26,Niort,2019-07-26,46.3278,-0.4603,17.5,19.8,20.3
Rodez|2019-07-26,Rodez,2019-07-26,44.35,2.5667,3.2,18.3,21.7
Sochaux|2019-07-26,Sochaux,2019-07-26,47.5,6.8167,0.1,12.0,28.6
Le Mans|2019-07-27,Le Mans,2019-07-27,48.0039,0.1956,0.4,18.6,20.1
Lorient|2019-07-29,Lorient,2019-07-29,47.75,-3.3667,5.7,40.6,18.7
Auxerre|2019-08-02,Auxerre,2019-08-02,47.7833,3.5667,0.1,17.5,21.5
Grenoble|2019-08-02,Grenoble,2019-08-02,45.1667,5.7167,0.1,11.0,22.7
Le Havre|2019-08-02,Le Havre,2019-08-02,49.4833,0.1,0.1,16.2,18.4
Orleans|2019-08-02,Orleans,2019-08-02,47.9029,1.9039,0.0,14.8,22.0
Paris FC|2019-08-02,Paris FC,2019-08-02,48.8167,2.3,0.1,16.9,21.0
Troyes|2019-08-02,Troyes,2019-08-02,48.2956,4.0667,0.0,16.2,22.5
Valenciennes|2019-08-02,Valenciennes,2019-08-02,50.3667,3.5167,1.3,19.7,18.4
Lens|2019-08-03,Lens,2019-08-03,50.4333,2.8167,0.0,10.9,19.4
Caen|2019-08-05,Caen,2019-08-05,49.1667,-0.3667,4.0,24.6,18.9
Monaco|2019-08-09,Monaco,2019-08-09,43.7278,7.4153,0.0,10.7,26.1
Ajaccio|2019-08-09,Ajaccio,2019-08-09,41.92,8.7381,0.0,9.7,26.5
Guingamp|2019-08-09,Guingamp,2019-08-09,48.5608,-3.15,17.0,43.9,19.2
Le Mans|2019-08-09,Le Mans,2019-08-09,48.0039,0.1956,6.0,31.8,22.0
Nancy|2019-08-09,Nancy,2019-08-09,48.6833,6.2,0.9,25.1,24.1
Niort|2019-08-09,Niort,2019-08-09,46.3278,-0.4603,2.1,26.2,22.3
Rodez|2019-08-09,Rodez,2019-08-09,44.35,2.5667,0.4,25.0,24.6
Sochaux|2019-08-09,Sochaux,2019-08-09,47.5,6.8167,0.6,17.0,24.1
Troyes|2019-08-09,Troyes,2019-08-09,48.2956,4.0667,4.7,27.0,24.6
Marseille|2019-08-10,Marseille,2019-08-10,43.27,5.3953,0.1,18.9,25.9
Angers|2019-08-10,Angers,2019-08-10,47.4667,-0.55,0.4,26.1,20.1
Brest|2019-08-10,Brest,2019-08-10,48.39,-4.4833,2.4,38.4,17.4
Dijon|2019-08-10,Dijon,2019-08-10,47.3167,5.05,4.0,18.5,21.2
Montpellier|2019-08-10,Montpellier,2019-08-10,43.6222,3.8128,4.4,16.4,27.7
Nice|2019-08-10,Nice,2019-08-10,43.705,7.2603,0.0,13.1,25.3
Clermont|2019-08-10,Clermont,2019-08-10,45.7731,3.1,3.6,13.4,21.7
Lille|2019-08-11,Lille,2019-08-11,50.6167,3.1333,0.0,21.7,17.7
Strasbourg|2019-08-11,Strasbourg,2019-08-11,48.5628,7.7519,4.7,27.8,19.8
Paris SG|2019-08-11,Paris SG,2019-08-11,48.8414,2.253,0.3,15.5,17.8
Lyon|2019-08-16,Lyon,2019-08-16,45.7654,4.9822,0.0,11.6,19.2
Caen|2019-08-16,Caen,2019-08-16,49.1667,-0.3667,1.6,27.2,17.9
Grenoble|2019-08-16,Grenoble,2019-08-16,45.1667,5.7167,0.0,6.3,20.4
Lorient|2019-08-16,Lorient,2019-08-16,47.75,-3.3667,6.7,28.8,17.7
Nancy|2019-08-16,Nancy,2019-08-16,48.6833,6.2,0.0,12.7,18.5
Orleans|2019-08-16,Orleans,2019-08-16,47.9029,1.9039,0.0,15.0,18.8
Paris FC|2019-08-16,Paris FC,2019-08-16,48.8167,2.3,0.1,22.2,18.7
Valenciennes|2019-08-16,Valenciennes,2019-08-16,50.3667,3.5167,0.3,21.4,18.2
Nantes|2019-08-17,Nantes,2019-08-17,47.2558,-1.5247,18.4,23.4,19.2
Amiens|2019-08-17,Amiens,2019-08-17,49.8941,2.2831,7.4,24.9,18.6
