Div,GoalDiff
D1,1.9922804229671398
D2,1.7124999172622257
E0,1.8996305000214566
E1,1.6211190527259063
F1,1.8082378181337715
F2,1.5607871427401336
I1,1.78392939208924
I2,1.5017931973046885
SP1,1.7370926657269365
SP2,1.398514558676504
