Date,Div,season,HomeTeam,AwayTeam,Result,GoalDiff,mu_model,mu_mkt,pH_n,pD_n,pA_n,pH_p,pD_p,pA_p,p_H_mkt,p_D_mkt,p_A_mkt
2023-08-26,D1,2023-24,M'gladbach,Leverkusen,A,-3.0,-2.9500000000000064,-0.8527799233871003,0.04198631655763618,0.06788886430618013,0.8901248191361837,0.006702812242698702,0.07238551779868904,0.9207542123048741,0.2237391043528053,0.2385453686114468,0.5377155270357477
2023-08-26,D1,2023-24,Heidenheim,Hoffenheim,A,-1.0,0.09999999999999737,-0.324841811604225,0.4206003376290821,0.19751582161713244,0.38188384075378545,0.3922747218860833,0.262096845784473,0.34562811328454635,0.3109201739986278,0.2557176365785059,0.4333621894228662
2023-08-26,D1,2023-24,Freiburg,Werder Bremen,H,1.0,3.0999999999999956,0.9385018113186404,0.9035975868459041,0.06072567094879605,0.03567674220529987,0.9259619524842418,0.06760041130491129,0.006240482901159766,0.5522657982861214,0.2384171860893744,0.2093170156245042
2023-08-26,D1,2023-24,Bochum,Dortmund,D,0.0,-5.600000000000007,-1.2453776373484462,0.0011235849139290544,0.004192469145505862,0.9946839459405651,0.0018952164766139557,0.02156207025247737,0.973057423019574,0.1733013409665997,0.2063460881848073,0.6203525708485927
2023-08-26,D1,2023-24,Darmstadt,Union Berlin,A,-3.0,-1.4000000000000015,-0.6712104187339422,0.17062455675458743,0.15544038500669988,0.6739350582387127,0.10236684090393117,0.19334245872688277,0.7042819166694696,0.234553706505295,0.2859909228441755,0.4794553706505295
2023-08-26,D1,2023-24,FC Koln,Wolfsburg,A,-1.0,-0.9000000000000001,0.4424574445057526,0.2415726683645365,0.17902766926454605,0.5793996623709174,0.1809333347440623,0.23222310807568874,0.5868409960434526,0.4468730268016082,0.2710947170901723,0.2820322561082196
2023-08-27,D1,2023-24,Mainz,Ein Frankfurt,D,0.0,0.2000000000000059,-0.0485597807746916,0.4402764188008319,0.19678923533050618,0.3629343458686619,0.41612087892833627,0.2609327033568688,0.32294604130805316,0.3470233380049966,0.2878252391688501,0.3651514228261531
2023-08-27,D1,2023-24,Bayern Munich,Augsburg,H,2.0,0.20000000000002793,2.864286636506888,0.44027641880083623,0.19678923533050602,0.36293434586865775,0.4161208789283416,0.26093270335686847,0.3229460413080482,0.8735282947208508,0.0843144701860995,0.0421572350930497
2023-09-01,D1,2023-24,Dortmund,Heidenheim,D,0.0,1.100772200772205,2.009314477691635,0.6182636443926424,0.17040735751325664,0.211328998094101,0.6350360584995212,0.21811356927381714,0.14684607336746236,0.7642778535175178,0.1376784218393259,0.0980437246431563
2023-09-02,D1,2023-24,Werder Bremen,Mainz,H,4.0,-1.724801924165249,-0.010624599615523,0.13255560044020553,0.1372183211097764,0.7302260784500181,0.06295935577041661,0.16272383350688222,0.7742989946725358,0.3585657370517928,0.2788844621513944,0.3625498007968127
2023-09-02,D1,2023-24,M'gladbach,Bayern Munich,A,-1.0,-0.9121109224674602,-2.0304595478495377,0.23968413614495354,0.17854564547065022,0.5817702183843962,0.1787842767487113,0.23143718464315344,0.5897758937434406,0.09684857801691,0.1345119139123751,0.7686395080707149
2023-09-02,D1,2023-24,Stuttgart,Freiburg,H,5.0,1.8850028296547787,0.2711577694213593,0.7560775750152668,0.12780767944144333,0.11611474554328982,0.806327017944363,0.14672265795909406,0.04692564947235496,0.4164529906669266,0.2688638813371641,0.3146831279959092
2023-09-02,D1,2023-24,Augsburg,Bochum,D,0.0,5.57192982456141,0.3591492312135326,0.9944653450705782,0.004357242931182291,0.001177411998239554,0.9728395181764318,0.021841108774679437,0.0019207574859932885,0.4344809103354363,0.2656472957213945,0.2998717939431692
2023-09-02,D1,2023-24,Hoffenheim,Wolfsburg,H,2.0,0.41058290888512117,0.0152336939665025,0.4821379244005879,0.19370527694343975,0.32415679865597236,0.46712981870744613,0.2559825961927436,0.2768869405104659,0.3795632690595396,0.246668320950532,0.3737684099899283
2023-09-02,D1,2023-24,Leverkusen,Darmstadt,H,4.0,5.212889077532548,2.2545473690972697,0.9908788135790529,0.007013353199775212,0.002107833221171847,0.9695419686072453,0.0257441170059742,0.002279448258131117,0.7923164221764533,0.1333277289731411,0.0743558488504056
2023-09-03,D1,2023-24,Ein Frankfurt,FC Koln,D,0.0,1.5189743351374683,0.4968058749756832,0.6951139931018218,0.14894806509535918,0.15593794180281906,0.7306452974581203,0.18249036215417097,0.08685287122802399,0.4511700070136661,0.2813330216148434,0.2674969713714905
2023-09-03,D1,2023-24,Union Berlin,RB Leipzig,A,-3.0,-3.4993636076541996,-0.5216412742819118,0.022574676521049608,0.04392668676051781,0.9334986367184326,0.005159069234841589,0.056341339506556995,0.9381534071206845,0.2730359933606162,0.2592755586819645,0.4676884479574192
