feature,coef
intercept,0.28055900952876967
z_H,1.206512145035802
z_A,-0.3946031732983129
z_D,-0.09755475984159534
div_D2,-0.03967896757658337
div_E0,-0.060371661643276585
div_E1,-0.0381273384946088
div_F1,-0.05775688076004946
div_F2,-0.06621761733850084
div_I1,-0.09602997565451878
div_I2,-0.025509578497757132
div_SP1,-0.05148947663743063
div_SP2,-0.016187977931443113
