name,N,ll_mkt,ll_model,gap,rmse,draw_mod,draw_act
1. Market,3831,0.9982070365397486,1.0027361171277247,-0.004529080587976075,1.5524757506883355,0.2436017510718726,0.26964239102062126
2. Pure ratings (w=0.0),3831,0.9982070365397486,1.0731293457738924,-0.07492230923414378,1.688572919859503,0.24570943519051963,0.26964239102062126
Blend (w=0.5),3831,0.9982070365397486,1.0221185849958605,-0.023911548456111875,1.5904908492296983,0.2479871664339689,0.26964239102062126
Blend (w=0.7),3831,0.9982070365397486,1.010933719939913,-0.012726683400164474,1.5676774559765818,0.24701182998456767,0.26964239102062126
Blend (w=0.8),3831,0.9982070365397486,1.0070662405117292,-0.00885920397198059,1.5600373614037544,0.24612224379411057,0.26964239102062126
Blend (w=0.9),3831,0.9982070365397486,1.0043326699051058,-0.006125633365357208,1.5549617420186332,0.24498003311925384,0.26964239102062126
Blend (w=0.92),3831,0.9982070365397486,1.003922704033548,-0.005715667493799481,1.5542567894768704,0.24472299992286078,0.26964239102062126
Blend (w=0.95),3831,0.9982070365397486,1.003392672993519,-0.005185636453770348,1.5533939622364026,0.2443198260095258,0.26964239102062126
Blend (w=0.97),3831,0.9982070365397486,1.0030956618662092,-0.004888625326460616,1.5529486466469522,0.2440392851814196,0.26964239102062126
Blend (w=0.98),3831,0.9982070365397486,1.0029641932565707,-0.004757156716822086,1.5527649951087774,0.24389558321212523,0.26964239102062126
Blend (w=0.99),3831,0.9982070365397486,1.002844280687358,-0.004637244147609465,1.5526073604808777,0.24374970343738026,0.26964239102062126
Blend (w=1.0),3831,0.9982070365397486,1.002736117127725,-0.004529080587976297,1.5524757506883355,0.24360175107187265,0.26964239102062126
4. Elo (K=0.05),3831,0.9982070365397486,1.0353177850048387,-0.037110748465090104,1.6172380606185626,0.24975649229278035,0.26964239102062126
5. Seeded ratings,3722,0.997834473523354,1.0604749407373717,-0.06264046721401773,1.6739997469626569,0.2362290207347706,0.26947877485223
