,sigma
D1,1.7758205775861753
D2,1.6512792581462894
E0,1.6498134521861756
E1,1.5309317831894678
F1,1.5989543591230662
F2,1.4819867722161322
I1,1.522103772282222
I2,1.4409216448155924
SP1,1.5075460129342926
SP2,1.353379616861046
