half_life,market_weight,rmse,r2
,0.0,1.752780050898182,-0.06746712517487063
,0.1,1.7160569431864776,-0.02320594556660094
,0.2,1.6828369187103738,0.016025762479923045
,0.3,1.653331151032653,0.050227998964701204
,0.5,1.606255554645117,0.10354405724902027
,0.7,1.576232999216335,0.13674222928635582
,1.0,1.565169108734116,0.14881845062926613
90.0,0.0,1.7582774487446333,-0.07417360736101153
90.0,0.1,1.7202961113386188,-0.02826743211062155
90.0,0.2,1.6858877410073718,0.01245482626323291
90.0,0.3,1.655275167620307,0.047993167760551625
90.0,0.5,1.606278809258035,0.1035181001255836
90.0,0.7,1.5748034506819262,0.13830736498447327
90.0,1.0,1.562598686839364,0.15161188569879247
180.0,0.0,1.7537412629052052,-0.06863822882803561
180.0,0.1,1.7166909785930193,-0.023962177634057724
180.0,0.2,1.6831565560419919,0.015651935681166518
180.0,0.3,1.6533519424822376,0.050204111117636674
180.0,0.5,1.6057371157912448,0.1041226483543164
180.0,0.7,1.575273002987752,0.13779343407598132
180.0,1.0,1.5637740846417039,0.15033507856782546
365.0,0.0,1.7528034304421634,-0.06749560229159002
365.0,0.1,1.7159961133178543,-0.02313340673816744
365.0,0.2,1.6826924555025997,0.016194693850259623
365.0,0.3,1.6531042261212614,0.050488699473691834
365.0,0.5,1.6058699445605322,0.10397442582557026
365.0,0.7,1.5757019864779636,0.13732377231746762
365.0,1.0,1.564457664878274,0.1495920798178496
