sample,half_life,market_weight,rmse,seasons,hl_bin,mw_bin
69,,0.5045309901929865,1.5995759630782307,"['2023-24', '2015-16', '2016-17', '2020-21']",271-730,0.4-0.6
70,51.0,0.7451881283288445,1.5606583476274756,"['2019-20', '2018-19', '2016-17', '2022-23']",30-60,0.6-0.8
71,191.0,0.6300118445763987,1.5886509831400937,"['2017-18', '2016-17', '2020-21', '2019-20']",121-270,0.6-0.8
72,197.0,0.851131099761935,1.5636598326531495,"['2015-16', '2018-19', '2020-21', '2019-20']",121-270,0.8-1.0
73,,0.15521299244109088,1.6816953598502336,"['2022-23', '2021-22', '2016-17', '2018-19']",271-730,0.0-0.2
74,139.0,0.7346210919351616,1.56895529279447,"['2021-22', '2016-17', '2015-16', '2022-23']",121-270,0.6-0.8
75,39.0,0.1930414908689041,1.697151753029266,"['2018-19', '2023-24', '2019-20', '2016-17']",30-60,0.0-0.2
76,143.0,0.27075875131780025,1.669207030821697,"['2018-19', '2023-24', '2021-22', '2020-21']",121-270,0.2-0.4
77,186.0,0.7099046972813039,1.5631915018990066,"['2016-17', '2020-21', '2023-24', '2018-19']",121-270,0.6-0.8
78,70.0,0.9802047848986818,1.5647643814249317,"['2015-16', '2017-18', '2019-20', '2020-21']",61-120,0.8-1.0
79,158.0,0.6115436059770696,1.5836533299792426,"['2022-23', '2023-24', '2015-16', '2020-21']",121-270,0.6-0.8
80,32.0,0.054500314991295595,1.7632756824432685,"['2022-23', '2023-24', '2017-18', '2016-17']",30-60,0.0-0.2
81,524.0,0.6163089699275328,1.5848351218352967,"['2021-22', '2022-23', '2016-17', '2023-24']",271-730,0.6-0.8
82,,0.042350551580167095,1.7299688574581817,"['2017-18', '2018-19', '2021-22', '2022-23']",271-730,0.0-0.2
83,42.0,0.8841457113668172,1.5770695854289658,"['2017-18', '2015-16', '2021-22', '2019-20']",30-60,0.8-1.0
84,73.0,0.7095782851006207,1.5645704622300611,"['2022-23', '2023-24', '2018-19', '2020-21']",61-120,0.6-0.8
85,305.0,0.17312784642250323,1.7197145506159193,"['2021-22', '2020-21', '2019-20', '2022-23']",271-730,0.0-0.2
86,42.0,0.09172100582419807,1.7144782771934588,"['2021-22', '2018-19', '2015-16', '2016-17']",30-60,0.0-0.2
87,62.0,0.18353322888031898,1.7011247283414404,"['2020-21', '2021-22', '2022-23', '2018-19']",61-120,0.0-0.2
88,,0.9800271795541925,1.5575679452806375,"['2018-19', '2020-21', '2023-24', '2017-18']",271-730,0.8-1.0
89,98.0,0.4585606424584898,1.6000921108311588,"['2018-19', '2015-16', '2017-18', '2022-23']",61-120,0.4-0.6
90,395.0,0.784080948341408,1.5648197135251278,"['2015-16', '2018-19', '2016-17', '2021-22']",271-730,0.6-0.8
91,628.0,0.6364083421077769,1.5803340824749998,"['2016-17', '2020-21', '2023-24', '2017-18']",271-730,0.6-0.8
92,155.0,0.5724131499586373,1.5875761204829213,"['2017-18', '2023-24', '2015-16', '2022-23']",121-270,0.4-0.6
93,595.0,0.1451302546650497,1.6971345065927743,"['2021-22', '2015-16', '2018-19', '2020-21']",271-730,0.0-0.2
94,34.0,0.9460244535580951,1.5514187701360436,"['2022-23', '2017-18', '2023-24', '2016-17']",30-60,0.8-1.0
95,712.0,0.30134263251471793,1.632429541921927,"['2018-19', '2022-23', '2016-17', '2017-18']",271-730,0.2-0.4
96,327.0,0.5780172158075422,1.5934867717452403,"['2015-16', '2020-21', '2021-22', '2016-17']",271-730,0.4-0.6
97,519.0,0.6997759445890661,1.568597507180244,"['2017-18', '2023-24', '2015-16', '2016-17']",271-730,0.6-0.8
98,82.0,0.6492331552453089,1.5796311503425409,"['2023-24', '2021-22', '2022-23', '2016-17']",61-120,0.6-0.8
99,247.0,0.9405944096955184,1.5574017967468614,"['2022-23', '2023-24', '2017-18', '2020-21']",121-270,0.8-1.0
100,40.0,0.148438989920058,1.7302369409640554,"['2016-17', '2019-20', '2020-21', '2017-18']",30-60,0.0-0.2
101,69.0,0.5083527384469421,1.6183051001134827,"['2018-19', '2020-21', '2021-22', '2019-20']",61-120,0.4-0.6
102,64.0,0.40403439074076597,1.6088907105297574,"['2016-17', '2023-24', '2018-19', '2015-16']",61-120,0.4-0.6
103,,0.4741687294826181,1.6161371911499172,"['2023-24', '2018-19', '2020-21', '2021-22']",271-730,0.4-0.6
104,48.0,0.11921752619774462,1.732717891138914,"['2017-18', '2021-22', '2015-16', '2020-21']",30-60,0.0-0.2
105,203.0,0.13409460987276534,1.6936579771155023,"['2022-23', '2019-20', '2018-19', '2016-17']",121-270,0.0-0.2
106,56.0,0.27807554578125737,1.6594325126137897,"['2017-18', '2015-16', '2018-19', '2019-20']",30-60,0.2-0.4
107,358.0,0.3047046037608313,1.6359623669414325,"['2015-16', '2018-19', '2016-17', '2019-20']",271-730,0.2-0.4
108,148.0,0.42790321368135,1.6258794478010665,"['2020-21', '2019-20', '2022-23', '2016-17']",121-270,0.4-0.6
109,,0.6109875470366283,1.5968790664142252,"['2018-19', '2019-20', '2021-22', '2017-18']",271-730,0.6-0.8
110,,0.634629117418263,1.583506513718127,"['2021-22', '2023-24', '2015-16', '2016-17']",271-730,0.6-0.8
111,45.0,0.41181089658557024,1.6398826399902584,"['2019-20', '2022-23', '2023-24', '2017-18']",30-60,0.4-0.6
112,44.0,0.4087831094286971,1.633188240820088,"['2023-24', '2021-22', '2017-18', '2018-19']",30-60,0.4-0.6
113,275.0,0.21762852669696198,1.6632446512182857,"['2015-16', '2023-24', '2022-23', '2016-17']",271-730,0.2-0.4
114,56.0,0.5883062484090082,1.5903594746041492,"['2016-17', '2017-18', '2015-16', '2019-20']",30-60,0.4-0.6
115,294.0,0.3170409113172379,1.6298025836577785,"['2015-16', '2021-22', '2018-19', '2016-17']",271-730,0.2-0.4
116,45.0,0.0360598342773637,1.7633446922631026,"['2020-21', '2022-23', '2017-18', '2015-16']",30-60,0.0-0.2
117,,0.4184000441568604,1.6298698080599865,"['2020-21', '2018-19', '2019-20', '2017-18']",271-730,0.4-0.6
118,106.0,0.4741326750901703,1.6212599345737573,"['2015-16', '2021-22', '2023-24', '2020-21']",61-120,0.4-0.6
119,142.0,0.22559286820421098,1.6847568320391981,"['2022-23', '2015-16', '2021-22', '2020-21']",121-270,0.2-0.4
120,633.0,0.5724579331221157,1.591211221204553,"['2022-23', '2020-21', '2017-18', '2015-16']",271-730,0.4-0.6
121,574.0,0.5657719004319209,1.6079009299714686,"['2022-23', '2021-22', '2023-24', '2019-20']",271-730,0.4-0.6
122,,0.7020021811103714,1.5801247288532092,"['2017-18', '2021-22', '2018-19', '2020-21']",271-730,0.6-0.8
123,226.0,0.64794848220121,1.5748125130484671,"['2017-18', '2022-23', '2016-17', '2020-21']",121-270,0.6-0.8
124,,0.6524330565210316,1.5740877682941643,"['2018-19', '2019-20', '2015-16', '2016-17']",271-730,0.6-0.8
125,,0.3162141518240431,1.6468213916701617,"['2017-18', '2022-23', '2020-21', '2016-17']",271-730,0.2-0.4
126,655.0,0.7874322219859539,1.5703966591237235,"['2020-21', '2019-20', '2018-19', '2017-18']",271-730,0.6-0.8
127,589.0,0.5491443835996794,1.6035586913066666,"['2022-23', '2017-18', '2023-24', '2019-20']",271-730,0.4-0.6
128,133.0,0.4314181951798901,1.623932430893868,"['2023-24', '2019-20', '2015-16', '2022-23']",121-270,0.4-0.6
129,31.0,0.6260124809410571,1.5946168600982462,"['2023-24', '2021-22', '2017-18', '2022-23']",30-60,0.6-0.8
130,,0.3606573344502543,1.6411111359865644,"['2018-19', '2021-22', '2020-21', '2017-18']",271-730,0.2-0.4
131,381.0,0.5127392446067582,1.61644768365176,"['2023-24', '2020-21', '2021-22', '2017-18']",271-730,0.4-0.6
132,163.0,0.7367056884822203,1.5694279475669504,"['2020-21', '2021-22', '2018-19', '2016-17']",121-270,0.6-0.8
133,478.0,0.8864028867237077,1.5530277966275976,"['2016-17', '2020-21', '2017-18', '2018-19']",271-730,0.8-1.0
134,111.0,0.9210571972951916,1.5643755025915065,"['2018-19', '2023-24', '2019-20', '2017-18']",61-120,0.8-1.0
135,116.0,0.5036329251830992,1.5995902769093366,"['2015-16', '2017-18', '2016-17', '2020-21']",61-120,0.4-0.6
136,478.0,0.5202751147405691,1.5892832472374971,"['2015-16', '2022-23', '2016-17', '2017-18']",271-730,0.4-0.6
137,66.0,0.7998704107638365,1.5779006585719595,"['2023-24', '2021-22', '2022-23', '2019-20']",61-120,0.6-0.8
138,324.0,0.31445069174420126,1.640062574017723,"['2015-16', '2021-22', '2016-17', '2017-18']",271-730,0.2-0.4
139,41.0,0.8373823623450686,1.566724881349128,"['2021-22', '2016-17', '2020-21', '2023-24']",30-60,0.8-1.0
140,,0.4941416465174234,1.6201692320500432,"['2020-21', '2018-19', '2019-20', '2021-22']",271-730,0.4-0.6
141,47.0,0.11585672433526839,1.7281837963585926,"['2020-21', '2023-24', '2018-19', '2017-18']",30-60,0.0-0.2
142,80.0,0.0720591470729437,1.7380615291229764,"['2019-20', '2018-19', '2022-23', '2021-22']",61-120,0.0-0.2
143,,0.8419932110394631,1.5648149451122082,"['2015-16', '2018-19', '2022-23', '2021-22']",271-730,0.8-1.0
144,50.0,0.0555679169068779,1.72648663160574,"['2018-19', '2017-18', '2016-17', '2023-24']",30-60,0.0-0.2
145,48.0,0.2806114361336559,1.6846853588327704,"['2016-17', '2019-20', '2021-22', '2020-21']",30-60,0.2-0.4
146,,0.3341300405015458,1.6614864140947045,"['2019-20', '2023-24', '2021-22', '2017-18']",271-730,0.2-0.4
147,,0.1729944451915938,1.7089866046314321,"['2021-22', '2017-18', '2020-21', '2023-24']",271-730,0.0-0.2
148,,0.31389336980198923,1.6562352872460016,"['2023-24', '2016-17', '2021-22', '2020-21']",271-730,0.2-0.4
149,35.0,0.7426925667250857,1.574129180107319,"['2020-21', '2017-18', '2019-20', '2016-17']",30-60,0.6-0.8
150,263.0,0.014682843560070769,1.739810198115829,"['2018-19', '2016-17', '2020-21', '2021-22']",121-270,0.0-0.2
151,82.0,0.8271734245206864,1.5761312192139214,"['2021-22', '2016-17', '2019-20', '2017-18']",61-120,0.8-1.0
152,489.0,0.8565480235745582,1.554882022517547,"['2018-19', '2017-18', '2022-23', '2015-16']",271-730,0.8-1.0
153,34.0,0.3722615731915482,1.6519381534529218,"['2022-23', '2020-21', '2016-17', '2021-22']",30-60,0.2-0.4
154,63.0,0.1536128990606348,1.6887113205235333,"['2018-19', '2023-24', '2015-16', '2017-18']",61-120,0.0-0.2
