Date,season,Competition,HomeTeam,AwayTeam,OddsH,OddsD,OddsA
2026-04-08,2025-26,Europa League,SC Freiburg,Celta Vigo,2.1,3.3,2.7
2026-04-08,2025-26,Europa League,SC Braga,Real Betis,2.5,3.25,2.3
2026-04-09,2025-26,Europa League,Porto,Nottingham Forest,1.76,3.45,3.6
