"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"95927","17-02-26 21:00","Europe","Champions League","2025/2026","Monaco","PSG","6.66","4.87","1.48","1.02","22.00","1.13","6.00","1.45","2.75","2.19","1.73","3.53","1.30","1.57","2.41"
"95928","17-02-26 18:45","Europe","Champions League","2025/2026","Galatasaray","Juventus","3.10","3.39","2.42","1.03","11.70","1.23","4.25","1.84","2.03","2.95","1.40","5.76","1.14","1.64","2.26"
"87967","28-01-26 21:00","Europe","Champions League","2025/2026","Ajax","Olympiacos Piraeus","3.15","3.76","2.24","1.03","13.00","1.22","4.33","1.67","2.20","2.78","1.45","5.11","1.17","1.57","2.41"
"87968","28-01-26 21:00","Europe","Champions League","2025/2026","Arsenal","Kairat Almaty","1.03","17.00","41.00","1.01","29.00","1.05","10.00","1.22","4.33","1.53","2.50","2.21","1.67","3.14","1.36"
"87969","28-01-26 21:00","Europe","Champions League","2025/2026","Ath Bilbao","Sporting CP","3.00","3.41","2.48","1.05","10.00","1.27","3.75","1.95","1.91","3.13","1.37","6.11","1.13","1.65","2.24"
"87970","28-01-26 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Bodo/Glimt","1.28","7.21","9.27","1.01","29.00","1.06","9.00","1.22","4.33","1.62","2.30","2.31","1.62","1.48","2.68"
"87971","28-01-26 21:00","Europe","Champions League","2025/2026","Barcelona","FC Copenhagen","1.13","10.90","19.80","1.01","28.00","1.03","13.00","1.15","5.50","1.39","3.00","1.95","1.91","1.70","2.16"
"87972","28-01-26 21:00","Europe","Champions League","2025/2026","Bayer Leverkusen","Villarreal","1.70","4.19","4.86","1.02","15.00","1.21","4.50","1.62","2.30","2.59","1.50","4.56","1.20","1.65","2.25"
"87973","28-01-26 21:00","Europe","Champions League","2025/2026","Benfica","Real Madrid","4.49","4.32","1.74","1.01","20.00","1.15","5.50","1.49","2.63","2.19","1.73","3.64","1.29","1.49","2.64"
"87974","28-01-26 21:00","Europe","Champions League","2025/2026","Club Brugge KV","Marseille","2.88","3.70","2.42","1.02","17.50","1.17","5.00","1.53","2.50","2.31","1.62","3.96","1.25","1.48","2.68"
"87975","28-01-26 21:00","Europe","Champions League","2025/2026","Dortmund","Inter","2.86","3.57","2.50","1.03","13.00","1.22","4.33","1.78","2.10","2.78","1.45","5.11","1.17","1.57","2.41"
"87976","28-01-26 21:00","Europe","Champions League","2025/2026","Eintracht Frankfurt","Tottenham","5.06","4.25","1.67","1.02","15.00","1.21","4.50","1.67","2.20","2.59","1.50","4.56","1.20","1.65","2.24"
"87977","28-01-26 21:00","Europe","Champions League","2025/2026","Liverpool","Qarabag","1.11","12.10","19.80","1.01","28.00","1.03","13.00","1.17","5.00","1.39","3.00","1.95","1.91","1.74","2.10"
"87978","28-01-26 21:00","Europe","Champions League","2025/2026","Manchester City","Galatasaray","1.25","7.70","9.78","1.01","27.00","1.06","9.52","1.23","4.13","1.64","2.26","2.43","1.56","1.59","2.37"
"87979","28-01-26 21:00","Europe","Champions League","2025/2026","Monaco","Juventus","4.07","3.56","1.98","1.03","13.00","1.22","4.33","1.78","2.10","2.78","1.45","5.11","1.17","1.60","2.34"
"87980","28-01-26 21:00","Europe","Champions League","2025/2026","Napoli","Chelsea","3.50","3.70","2.11","1.04","11.00","1.25","4.00","1.86","2.00","3.13","1.37","5.63","1.14","1.68","2.18"
"87981","28-01-26 21:00","Europe","Champions League","2025/2026","Pafos","Slavia Prague","3.16","3.47","2.34","1.04","11.00","1.25","4.00","1.86","2.00","2.96","1.40","5.63","1.14","1.70","2.15"
"87982","28-01-26 21:00","Europe","Champions League","2025/2026","PSG","Newcastle","1.59","4.86","5.12","1.02","25.00","1.13","6.00","1.39","3.00","2.08","1.80","3.30","1.34","1.52","2.54"
"87983","28-01-26 21:00","Europe","Champions League","2025/2026","PSV","Bayern Munich","4.85","4.59","1.65","1.01","25.00","1.09","7.37","1.33","3.37","1.86","2.01","2.82","1.43","1.42","2.89"
"87984","28-01-26 21:00","Europe","Champions League","2025/2026","Royale Union SG","Atalanta","3.09","3.67","2.30","1.03","13.00","1.22","4.33","1.67","2.20","2.78","1.45","5.11","1.17","1.62","2.31"
"83887","21-01-26 21:00","Europe","Champions League","2025/2026","Atalanta","Ath Bilbao","1.71","3.84","5.38","1.06","9.00","1.35","3.20","2.19","1.73","3.64","1.29","7.73","1.09","1.96","1.85"
"83888","21-01-26 21:00","Europe","Champions League","2025/2026","Bayern Munich","Royale Union SG","1.14","11.00","16.50","1.01","29.00","1.06","9.47","1.23","4.21","1.61","2.32","2.38","1.58","1.90","1.90"
"83889","21-01-26 21:00","Europe","Champions League","2025/2026","Chelsea","Pafos","1.11","11.70","21.00","1.01","22.00","1.05","10.00","1.22","4.33","1.62","2.30","2.31","1.62","1.98","1.83"
"83890","21-01-26 21:00","Europe","Champions League","2025/2026","Juventus","Benfica","1.69","4.00","5.32","1.04","11.00","1.27","3.75","1.95","1.91","3.13","1.37","6.11","1.13","1.83","1.98"
"83891","21-01-26 21:00","Europe","Champions League","2025/2026","Marseille","Liverpool","3.68","4.02","1.96","1.02","18.50","1.17","5.00","1.53","2.50","2.31","1.62","3.96","1.25","1.49","2.64"
"83892","21-01-26 21:00","Europe","Champions League","2025/2026","Newcastle","PSV","1.34","5.77","8.91","1.01","28.00","1.08","8.00","1.30","3.50","1.86","2.00","2.78","1.45","1.57","2.42"
"83893","21-01-26 21:00","Europe","Champions League","2025/2026","Slavia Prague","Barcelona","8.13","6.11","1.34","1.01","28.00","1.08","8.00","1.30","3.50","1.86","2.00","2.78","1.45","1.52","2.54"
"83894","21-01-26 18:45","Europe","Champions League","2025/2026","Galatasaray","Atl. Madrid","3.45","3.80","2.10","1.02","16.00","1.19","4.74","1.57","2.42","2.47","1.54","4.34","1.22","1.53","2.53"
"83895","21-01-26 18:45","Europe","Champions League","2025/2026","Qarabag","Eintracht Frankfurt","3.46","3.97","2.04","1.01","18.50","1.15","5.50","1.49","2.63","2.21","1.67","3.64","1.29","1.44","2.79"
"82056","20-01-26 21:00","Europe","Champions League","2025/2026","FC Copenhagen","Napoli","4.10","3.49","2.00","1.06","9.00","1.35","3.20","2.19","1.73","3.96","1.25","7.73","1.09","1.90","1.90"
"82057","20-01-26 21:00","Europe","Champions League","2025/2026","Inter","Arsenal","2.90","3.38","2.56","1.06","9.47","1.33","3.37","2.09","1.80","3.46","1.31","7.37","1.09","1.76","2.06"
"82058","20-01-26 21:00","Europe","Champions League","2025/2026","Olympiacos Piraeus","Bayer Leverkusen","2.34","3.68","3.02","1.04","11.00","1.27","3.75","1.95","1.91","3.13","1.37","6.11","1.13","1.68","2.18"
"82059","20-01-26 21:00","Europe","Champions League","2025/2026","Real Madrid","Monaco","1.32","6.13","9.14","1.01","25.00","1.08","8.00","1.30","3.50","1.78","2.10","2.59","1.50","1.53","2.53"
"82060","20-01-26 21:00","Europe","Champions League","2025/2026","Sporting CP","PSG","4.57","4.30","1.73","1.01","18.50","1.15","5.50","1.45","2.75","2.19","1.73","3.53","1.30","1.44","2.79"
"82061","20-01-26 21:00","Europe","Champions League","2025/2026","Tottenham","Dortmund","2.74","3.66","2.54","1.03","13.00","1.22","4.33","1.78","2.10","2.78","1.45","5.11","1.17","1.60","2.34"
"82062","20-01-26 21:00","Europe","Champions League","2025/2026","Villarreal","Ajax","1.37","5.85","7.68","1.01","26.00","1.08","8.00","1.30","3.50","1.86","2.00","2.78","1.45","1.52","2.54"
"82063","20-01-26 18:45","Europe","Champions League","2025/2026","Bodo/Glimt","Manchester City","7.06","5.87","1.39","1.01","34.00","1.07","8.42","1.28","3.68","1.78","2.10","2.65","1.49","1.52","2.55"
"82064","20-01-26 16:30","Europe","Champions League","2025/2026","Kairat Almaty","Club Brugge KV","6.23","5.19","1.48","1.02","17.50","1.21","4.50","1.58","2.38","2.50","1.54","4.27","1.22","1.72","2.12"
"75193","10-12-25 21:00","Europe","Champions League","2025/2026","Ath Bilbao","PSG","4.73","4.00","1.75","1.01","15.50","1.19","4.74","1.61","2.32","2.47","1.54","4.34","1.22","1.60","2.34"
"75194","10-12-25 21:00","Europe","Champions League","2025/2026","Bayer Leverkusen","Newcastle","3.19","3.86","2.18","1.01","17.00","1.16","5.26","1.53","2.50","2.29","1.63","4.06","1.24","1.49","2.64"
"75195","10-12-25 21:00","Europe","Champions League","2025/2026","Benfica","Napoli","2.85","3.21","2.72","1.09","7.37","1.42","2.90","2.29","1.63","4.34","1.22","8.58","1.07","1.94","1.86"
"75196","10-12-25 21:00","Europe","Champions League","2025/2026","Club Brugge KV","Arsenal","7.11","5.33","1.43","1.02","18.50","1.19","4.74","1.53","2.50","2.38","1.58","4.06","1.24","1.72","2.12"
"75197","10-12-25 21:00","Europe","Champions League","2025/2026","Dortmund","Bodo/Glimt","1.37","5.91","7.71","1.02","26.00","1.13","6.00","1.39","3.00","2.08","1.80","3.30","1.34","1.62","2.31"
"75198","10-12-25 21:00","Europe","Champions League","2025/2026","Juventus","Pafos","1.21","7.42","15.00","1.01","20.00","1.11","6.50","1.39","3.00","2.08","1.80","3.13","1.37","1.96","1.85"
"75199","10-12-25 21:00","Europe","Champions League","2025/2026","Real Madrid","Manchester City","3.18","3.99","2.15","1.01","21.00","1.12","6.32","1.42","2.90","1.98","1.88","3.15","1.36","1.41","2.94"
"75200","10-12-25 18:45","Europe","Champions League","2025/2026","Qarabag","Ajax","2.13","3.83","3.34","1.02","15.00","1.21","4.50","1.62","2.30","2.59","1.50","4.56","1.20","1.53","2.53"
